kol,channel_id,tokens_mentioned,tokens_2x_plus,tokens_5x_plus,success_rate_2x,success_rate_5x,avg_ath_roi,composite_score,avg_max_pullback_percent,avg_time_to_2x_seconds,avg_time_to_2x_formatted,detailed_analysis_count,pullback_data_available,time_to_2x_data_available
kariusgemscalls,2222968620,29,11,5,37.93,17.24,138.44,274.08,73.85,3433,57m 13s,29,True,True
zen_call,2177594166,13,6,3,46.15,23.08,192.62,261.61,78.41,2573,42m 53s,13,True,True
nikola_calls,2000078706,6,3,3,50.0,50.0,337.43,239.41,83.0,3965,1h 6m 5s,6,True,True
pepe_calls28,2017857449,9,2,2,22.22,22.22,362.49,214.83,84.72,1412,23m 32s,9,True,True
michacalls,1655443406,8,1,1,12.5,12.5,109.47,154.68,77.04,1174,19m 34s,8,True,True
poseidon_degen_calls,1869537526,7,1,1,14.29,14.29,98.27,146.35,75.83,1259,20m 59s,7,True,True
mrbigbagcalls,2051055592,7,4,0,57.14,0.0,112.55,145.17,85.46,10289,2h 51m 29s,7,True,True
marksgems,1508785153,9,2,0,22.22,0.0,43.5,142.24,65.96,4132,1h 8m 52s,9,True,True
thanosgambles,1730838033,1,1,0,100.0,0.0,127.59,93.64,60.04,14835,4h 7m 15s,1,True,True
michiosuzukiofsatoshicalls,1818702441,8,0,0,0.0,0.0,3.24,88.36,38.3,,N/A,8,True,False
marshmellow100xcalls,1693174179,3,0,0,0.0,0.0,2.26,30.23,83.8,,N/A,3,True,False
cluelesscalls,1742476790,1,0,0,0.0,0.0,0.0,21.58,13.42,,N/A,1,True,False
topcallerschannel,1915321527,2,0,0,0.0,0.0,4.17,20.42,37.41,,N/A,2,True,False
veigargambles,1671616196,2,0,0,0.0,0.0,2.25,20.23,79.34,,N/A,2,True,False
