kol,channel_id,tokens_mentioned,tokens_2x_plus,tokens_5x_plus,success_rate_2x,success_rate_5x,avg_ath_roi,composite_score,avg_max_pullback_percent,avg_time_to_2x_seconds,avg_time_to_2x_formatted,detailed_analysis_count,pullback_data_available,time_to_2x_data_available
zen_call,2177594166,12,12,7,100.0,58.33,743.94,387.5,0,,N/A,0,False,False
nikola_calls,2000078706,13,13,7,100.0,53.85,1521.53,380.77,0,,N/A,0,False,False
kariusgemscalls,2222968620,21,21,11,100.0,52.38,373.18,359.55,0,,N/A,0,False,False
satoshidegen,1067047613,7,7,7,100.0,100.0,1018.1,324.0,0,,N/A,0,False,False
roseswishingwell,1633191054,6,6,6,100.0,100.0,520.59,312.0,0,,N/A,0,False,False
marksgems,1508785153,9,8,6,88.89,66.67,2614.24,301.33,0,,N/A,0,False,False
getexpensivespowerplays,1628531638,5,5,5,100.0,100.0,669.93,300.0,0,,N/A,0,False,False
faycalldegen,1695806010,6,6,5,100.0,83.33,608.73,292.0,0,,N/A,0,False,False
wagmiplays,2230988466,5,5,4,100.0,80.0,515.43,276.0,0,,N/A,0,False,False
callsbyremy,2472777590,5,5,4,100.0,80.0,518.57,276.0,0,,N/A,0,False,False
strixsclub,,5,5,4,100.0,80.0,515.43,276.0,0,,N/A,0,False,False
alcaponesplay,,5,5,4,100.0,80.0,518.57,276.0,0,,N/A,0,False,False
rockefellerj0,,5,5,4,100.0,80.0,515.43,276.0,0,,N/A,0,False,False
chapoinsider,,7,7,4,100.0,57.14,1042.16,272.57,0,,N/A,0,False,False
hercules_degen_calls,,7,6,5,85.71,71.43,425.79,272.24,0,,N/A,0,False,False
pepe_calls28,,8,8,3,100.0,37.5,3508.32,261.0,0,,N/A,0,False,False
x666calls,,3,3,3,100.0,100.0,1285.08,253.0,0,,N/A,0,False,False
insider_eca,,3,3,3,100.0,100.0,4469.86,253.0,0,,N/A,0,False,False
sonicsdegenjournal,,3,3,3,100.0,100.0,537.91,253.0,0,,N/A,0,False,False
mrcrypt100xcalls,,3,3,3,100.0,100.0,537.91,253.0,0,,N/A,0,False,False
kulture_kall,,3,3,3,100.0,100.0,537.91,253.0,0,,N/A,0,False,False
cryptsycalls,,5,5,3,100.0,60.0,487.45,250.49,0,,N/A,0,False,False
thanos_call,,9,9,3,100.0,33.33,290.66,242.88,0,,N/A,0,False,False
itachigems,,4,4,3,100.0,75.0,462.56,232.38,0,,N/A,0,False,False
nakamoto_gamble,,9,9,2,100.0,22.22,288.97,229.34,0,,N/A,0,False,False
thanosgems,,2,2,2,100.0,100.0,653.77,220.0,0,,N/A,0,False,False
mattfuriecalls1,,2,2,2,100.0,100.0,859.67,220.0,0,,N/A,0,False,False
basedchadsgamble,,2,2,2,100.0,100.0,1679.86,220.0,0,,N/A,0,False,False
dora_calls,,2,2,2,100.0,100.0,1775.0,220.0,0,,N/A,0,False,False
cryptomole0,,2,2,2,100.0,100.0,507.58,220.0,0,,N/A,0,False,False
topcallerschannel,,5,5,2,100.0,40.0,410.57,217.27,0,,N/A,0,False,False
parkergamblles,,3,3,2,100.0,66.67,629.79,216.33,0,,N/A,0,False,False
smolinsanity,,1,1,1,100.0,100.0,508.33,210.0,0,,N/A,0,False,False
kurokoxgems1,,1,1,1,100.0,100.0,535.9,210.0,0,,N/A,0,False,False
thanosgambles,,1,1,1,100.0,100.0,1446.13,210.0,0,,N/A,0,False,False
minegems,,1,1,1,100.0,100.0,521.87,210.0,0,,N/A,0,False,False
shitcoinneverland,,1,1,1,100.0,100.0,1428.15,210.0,0,,N/A,0,False,False
degenalertstg,,1,1,1,100.0,100.0,3900.0,210.0,0,,N/A,0,False,False
clfrens,,1,1,1,100.0,100.0,505.26,210.0,0,,N/A,0,False,False
thedonscalls,,1,1,1,100.0,100.0,505.26,210.0,0,,N/A,0,False,False
carnagecalls,,1,1,1,100.0,100.0,502.41,210.0,0,,N/A,0,False,False
animegems,,1,1,1,100.0,100.0,934.48,210.0,0,,N/A,0,False,False
bagcalls,,1,1,1,100.0,100.0,594.79,210.0,0,,N/A,0,False,False
gemsmineeth,,1,1,1,100.0,100.0,1409.97,210.0,0,,N/A,0,False,False
callerno7,,1,1,1,100.0,100.0,638.01,210.0,0,,N/A,0,False,False
mitchgemsgambles,,1,1,1,100.0,100.0,952.63,210.0,0,,N/A,0,False,False
gemskungems,,1,1,1,100.0,100.0,24483.33,210.0,0,,N/A,0,False,False
defiapegems,,1,1,1,100.0,100.0,809.09,210.0,0,,N/A,0,False,False
tycooncalls,,1,1,1,100.0,100.0,900.0,210.0,0,,N/A,0,False,False
theblackkpearl,,1,1,1,100.0,100.0,1426.72,210.0,0,,N/A,0,False,False
sdscasino,,1,1,1,100.0,100.0,1415.15,210.0,0,,N/A,0,False,False
poseidon_degen_calls,,7,7,2,100.0,28.57,248.76,208.14,0,,N/A,0,False,False
hermesapes,,1,1,1,100.0,100.0,435.71,203.57,0,,N/A,0,False,False
mrbigbagcalls,,5,5,2,100.0,40.0,294.95,203.39,0,,N/A,0,False,False
teslacallsofficial,,1,1,1,100.0,100.0,416.67,201.67,0,,N/A,0,False,False
bunnycalls,,1,1,1,100.0,100.0,412.2,201.22,0,,N/A,0,False,False
printspress,,1,1,1,100.0,100.0,410.64,201.06,0,,N/A,0,False,False
bob_alpha,,6,6,1,100.0,16.67,254.49,182.54,0,,N/A,0,False,False
quartzeth,,4,4,1,100.0,25.0,841.59,181.5,0,,N/A,0,False,False
ziongems,,4,4,1,100.0,25.0,835.51,181.5,0,,N/A,0,False,False
zorincalls,,3,3,1,100.0,33.33,1529.0,179.67,0,,N/A,0,False,False
alfa1_calls,,3,3,1,100.0,33.33,1148.25,179.67,0,,N/A,0,False,False
hulkgemscalls_real,,8,6,1,75.0,12.5,143.24,173.19,0.33,,N/A,2,True,False
andyshoutout,,2,2,1,100.0,50.0,862.97,170.0,0,,N/A,0,False,False
bassiecalls,,2,2,1,100.0,50.0,754.42,170.0,0,,N/A,0,False,False
doxxedchannel,,2,2,1,100.0,50.0,390.12,159.01,0,,N/A,0,False,False
harry_calls,,2,2,1,100.0,50.0,378.84,157.88,0,,N/A,0,False,False
begeneracy,,2,2,1,100.0,50.0,377.23,157.72,0,,N/A,0,False,False
chiggajogambles,,2,2,1,100.0,50.0,372.67,157.27,0,,N/A,0,False,False
vortex_gamble,,2,2,1,100.0,50.0,367.02,156.7,0,,N/A,0,False,False
chinacryptocrosschainsnetwork,,2,2,1,100.0,50.0,354.55,155.45,0,,N/A,0,False,False
crypto_worker_call,,2,2,1,100.0,50.0,353.71,155.37,0,,N/A,0,False,False
michiosuzukiofsatoshicalls,,4,4,1,100.0,25.0,262.24,155.35,0,,N/A,0,False,False
degensgems,,4,3,0,75.0,0.0,203.71,107.66,0,,N/A,0,False,False
donald_call,,1,1,0,100.0,0.0,397.4,99.74,0,,N/A,0,False,False
apollo_degen_calls,,1,1,0,100.0,0.0,397.4,99.74,0,,N/A,0,False,False
shyroshigambles,,2,2,0,100.0,0.0,266.62,96.66,0,,N/A,0,False,False
michacalls,,2,2,0,100.0,0.0,266.62,96.66,0,,N/A,0,False,False
chinapumpcommunity,,2,2,0,100.0,0.0,256.66,95.67,0,,N/A,0,False,False
big_apes_call,,2,2,0,100.0,0.0,254.98,95.5,0,,N/A,0,False,False
xerodarkcalls,,2,2,0,100.0,0.0,254.79,95.48,0,,N/A,0,False,False
yasuogems,,2,2,0,100.0,0.0,254.27,95.43,0,,N/A,0,False,False
investergram,,2,2,0,100.0,0.0,250.88,95.09,0,,N/A,0,False,False
civiliandegens,,2,2,0,100.0,0.0,250.88,95.09,0,,N/A,0,False,False
jahmangems,,1,1,0,100.0,0.0,340.0,94.0,0,,N/A,0,False,False
kingdawgscalls,,1,1,0,100.0,0.0,314.94,91.49,0,,N/A,0,False,False
cryptic_maestro,,2,2,0,100.0,0.0,210.52,91.05,0,,N/A,0,False,False
basedchadscalls,,1,1,0,100.0,0.0,310.53,91.05,0,,N/A,0,False,False
charlescalls,,2,2,0,100.0,0.0,209.93,90.99,0,,N/A,0,False,False
ash_calls,,2,2,0,100.0,0.0,206.53,90.65,0,,N/A,0,False,False
