kol,channel_id,tokens_mentioned,tokens_2x_plus,tokens_5x_plus,success_rate_2x,success_rate_5x,avg_ath_roi,composite_score
jeetycall,1712900374,14,14,11,100.0,78.57,716.4,342.86
marksgems,1508785153,28,28,16,100.0,57.14,5047.27,310.71
hellsinggamble,1715502498,8,8,8,100.0,100.0,972.19,276.0
kariusgemscalls,2222968620,16,16,4,100.0,25.0,248.82,262.5
chinapumpcommunity,1502458504,8,8,7,100.0,87.5,2929.7,261.0
mrbigbagcalls,2051055592,5,5,5,100.0,100.0,1598.02,240.0
topcallerschannel,1915321527,10,10,1,100.0,10.0,251.86,240.0
shitcoinneverland,1983450418,5,5,4,100.0,80.0,504.0,216.0
crikeycallz,2276696688,5,5,4,100.0,80.0,524.15,216.0
vortex_gamble,2017983706,7,7,4,100.0,57.14,584.8,212.57
levisaipha,,4,4,4,100.0,100.0,847.5,209.0
sirwilliams_call,,3,3,3,100.0,100.0,510.87,198.0
gemboycalls,,3,3,3,100.0,100.0,3492.56,198.0
ash_calls,,3,3,3,100.0,100.0,842.62,198.0
marshmellow100xcalls,,3,3,3,100.0,100.0,625.0,198.0
charlescalls,,3,3,3,100.0,100.0,793.33,198.0
principalcalls,,3,3,3,100.0,100.0,715.15,198.0
casgems,,4,4,3,100.0,75.0,687.24,181.5
centralhub_news,,4,4,3,100.0,75.0,678.73,181.5
mitchgemsgambles,,2,2,2,100.0,100.0,781.58,170.0
cryptorocketeercalls,,2,2,2,100.0,100.0,473.05,170.0
begeneracy,,2,2,2,100.0,100.0,550.56,170.0
degensgems,,2,2,2,100.0,100.0,4672.73,170.0
maythousdegens,,2,2,2,100.0,100.0,4456.07,170.0
xerodarkcalls,,2,2,2,100.0,100.0,4604.44,170.0
elonmuskcallz,,2,2,2,100.0,100.0,4565.07,170.0
alphaartemisscall,,2,2,2,100.0,100.0,4504.52,170.0
cntokenchannel,,2,2,2,100.0,100.0,851.82,170.0
cryptoo_coffee,,2,2,2,100.0,100.0,858.58,170.0
oyugu,,2,2,2,100.0,100.0,675.0,170.0
mooneagle_call,,2,2,2,100.0,100.0,861.29,170.0
ryoshigamble,,2,2,2,100.0,100.0,862.53,170.0
crypto_worker_call,,2,2,2,100.0,100.0,858.82,170.0
kobecalls,,2,2,2,100.0,100.0,468.75,170.0
thomassafucall,,3,3,2,100.0,66.67,446.67,161.33
millionsgems,,3,3,2,100.0,66.67,2985.35,161.33
nagatogemcalls,,3,3,2,100.0,66.67,3106.18,161.33
cryptodeusgems,,3,3,2,100.0,66.67,607.13,161.33
faycalldegen,,3,3,2,100.0,66.67,452.17,161.33
nikola_calls,,1,1,1,100.0,100.0,401.79,160.0
opdegen,,1,1,1,100.0,100.0,426.32,160.0
nopaidcallshere,,1,1,1,100.0,100.0,414.91,160.0
mredudotfun,,1,1,1,100.0,100.0,4703.49,160.0
apezone,,1,1,1,100.0,100.0,2280.95,160.0
shutupandprint,,1,1,1,100.0,100.0,3403.18,160.0
mrboocalls,,1,1,1,100.0,100.0,3381.01,160.0
graveyardcallchannel,,1,1,1,100.0,100.0,1491.9,160.0
veigarcalls,,1,1,1,100.0,100.0,3436.98,160.0
maybachcalls,,1,1,1,100.0,100.0,1449.05,160.0
logiciancalls,,1,1,1,100.0,100.0,1465.22,160.0
maybachgamblecalls,,1,1,1,100.0,100.0,2971.67,160.0
mrcrypt100xcalls,,1,1,1,100.0,100.0,2934.48,160.0
degenseals,,1,1,1,100.0,100.0,2892.96,160.0
mrcryptgamble,,1,1,1,100.0,100.0,3909.43,160.0
doxxedchannel,,1,1,1,100.0,100.0,3900.0,160.0
lioliacryptodiary,,1,1,1,100.0,100.0,2885.07,160.0
investergram,,1,1,1,100.0,100.0,2896.25,160.0
peyosdegenhub,,1,1,1,100.0,100.0,507.69,160.0
batman_gem,,1,1,1,100.0,100.0,2938.46,160.0
dev_blackk,,1,1,1,100.0,100.0,1951.95,160.0
ethafterdark,,1,1,1,100.0,100.0,2907.81,160.0
thecallercrosschain,,1,1,1,100.0,100.0,917.17,160.0
chinacryptocrosschainsnetwork,,1,1,1,100.0,100.0,3933.15,160.0
poseidon_degen_calls,,4,4,2,100.0,50.0,357.11,154.0
liltoshigems,,4,4,2,100.0,50.0,373.01,154.0
delai001,,4,4,2,100.0,50.0,397.14,154.0
michacalls,,4,4,2,100.0,50.0,2437.57,154.0
baseddegengems,,4,4,2,100.0,50.0,355.33,154.0
chapoinsider,,6,6,1,100.0,16.67,684.95,152.0
sharoongambles,,5,5,1,100.0,20.0,232.63,144.0
manifestingriches,,4,4,1,100.0,25.0,255.38,126.5
dextradegems,,4,4,1,100.0,25.0,291.46,126.5
gemsmineeth,,4,4,1,100.0,25.0,315.48,126.5
karelicecalls,,4,4,1,100.0,25.0,274.5,126.5
animegems,,4,4,1,100.0,25.0,297.61,126.5
jacob1_community,,3,3,1,100.0,33.33,322.94,124.67
jyue_secretbase,,3,3,1,100.0,33.33,315.02,124.67
mattfuriecalls1,,3,3,1,100.0,33.33,352.7,124.67
bruisersgambles,,3,3,1,100.0,33.33,840.28,124.67
apollo_degen_calls,,3,3,1,100.0,33.33,30269.13,124.67
teslacallsofficial,,3,3,1,100.0,33.33,288.45,124.67
maniacapes,,3,3,1,100.0,33.33,1100.99,124.67
mrstealthgems,,2,2,1,100.0,50.0,1084.99,120.0
maestrosdegen,,2,2,1,100.0,50.0,2013.22,120.0
michiicalls,,2,2,1,100.0,50.0,1552.56,120.0
kweensjournal,,2,2,1,100.0,50.0,507.55,120.0
maybac_whales,,2,2,1,100.0,50.0,449.38,120.0
donald_call,,2,2,1,100.0,50.0,38547.11,120.0
zen_call,,5,5,0,100.0,0.0,181.45,120.0
dailyapeinside,,3,3,0,100.0,0.0,234.04,88.0
gm_degencalls,,2,2,0,100.0,0.0,204.24,70.0
kradscalls,,2,2,0,100.0,0.0,201.27,70.0
defiwhaletalk,,2,2,0,100.0,0.0,102.78,70.0
biggemsofficial,,2,2,0,100.0,0.0,286.0,70.0
insider_eca,,2,2,0,100.0,0.0,260.66,70.0
joejournal,,2,2,0,100.0,0.0,104.44,70.0
justicecalls,,2,2,0,100.0,0.0,101.72,70.0
cluelesscalls,,2,2,0,100.0,0.0,160.32,70.0
michiosuzukiofsatoshicalls,,2,2,0,100.0,0.0,161.0,70.0
knightgamble,,2,2,0,100.0,0.0,170.45,70.0
bagcalls,,2,2,0,100.0,0.0,161.78,70.0
carnagecalls,,2,2,0,100.0,0.0,100.0,70.0
pawgems,,2,2,0,100.0,0.0,293.48,70.0
defiapegems,,2,2,0,100.0,0.0,255.56,70.0
twosiccspiccs,,2,2,0,100.0,0.0,152.84,70.0
milagrosdegencalls,,1,1,0,100.0,0.0,337.33,60.0
ohmyjackccs,,1,1,0,100.0,0.0,302.9,60.0
evilozcalls,,1,1,0,100.0,0.0,109.3,60.0
topgcalls,,1,1,0,100.0,0.0,104.1,60.0
altcoinadventures,,1,1,0,100.0,0.0,202.0,60.0
iloverugging,,1,1,0,100.0,0.0,112.18,60.0
itachi_calls,,1,1,0,100.0,0.0,108.76,60.0
metacaller,,1,1,0,100.0,0.0,106.85,60.0
fomoapes,,1,1,0,100.0,0.0,102.78,60.0
