channel_id,total_calls,success_rate,avg_roi,avg_max_roi,confidence_level,recommendation,entry_type
MarksGems,3,0.0,0.0,0.0,0.0,CAUTIOUS,WAIT_FOR_CONFIRMATION
kariusgemscalls,3,0.0,0.0,0.0,0.0,CAUTIOUS,WAIT_FOR_CONFIRMATION
TopCallersChannel,3,0.0,0.0,0.0,0.0,CAUTIOUS,WAIT_FOR_CONFIRMATION
JeetyCall,3,0.0,0.0,0.0,0.0,CAUTIOUS,WAIT_FOR_CONFIRMATION
ChapoInsider,3,0.0,0.0,0.0,0.0,CAUTIOUS,WAIT_FOR_CONFIRMATION
CrikeyCallz,3,0.0,0.0,0.0,0.0,CAUTIOUS,WAIT_FOR_CONFIRMATION
AnimeGems,3,0.0,0.0,0.0,0.0,CAUTIOUS,WAIT_FOR_CONFIRMATION
Vortex_Gamble,3,0.0,0.0,0.0,0.0,CAUTIOUS,WAIT_FOR_CONFIRMATION
michiosuzukiofsatoshicalls,3,0.0,0.0,0.0,0.0,CAUTIOUS,WAIT_FOR_CONFIRMATION
CentralHub_News,2,0.0,0.0,0.0,0.0,CAUTIOUS,WAIT_FOR_CONFIRMATION
